year,quarter,city1,city2,paxtocity2,paxfromcity2,freighttocity2,freightfromcity2,year_scaled,quarter_scaled,paxtocity2_scaled,paxfromcity2_scaled,freighttocity2_scaled,freightfromcity2_scaled,total_passengers,total_freight,traffic_type,quarter_period,date,year_quarter,pax_growth_pct
20,2,ABHA,KOCHI,0,213,0.0,7.67,0.05947451876359818,-0.40658566165261806,-0.6246054157642874,-0.6118337955898391,-0.35768021930662464,-0.44161836622079764,213,7.67,international,2020Q2,2020-06-30 23:59:59.999999999,20 Q2,
20,3,ABHA,KOCHI,413,0,18.73,0.0,0.05947451876359818,0.49228026734765,-0.6106260565010474,-0.6187397563002868,-0.34271730746799856,-0.44675732773044624,413,18.73,international,2020Q3,2020-09-30 23:59:59.999999999,20 Q3,93.89671361502347
15,1,ABUDHABI,AHMEDABAD,12764,15358,15.47,64.88,-1.6116514066040013,-1.305451590652886,-0.19256536337689176,-0.12079729343147926,-0.34532163702453467,-0.4032872074245789,28122,80.35,international,2015Q1,2015-03-31 23:59:59.999999999,15 Q1,
15,2,ABUDHABI,AHMEDABAD,20070,23328,74.82,162.5,-1.6116514066040013,-0.40658566165261806,0.054730517439647894,0.1376088420721277,-0.2979084593618301,-0.3378810245599246,43398,237.32,international,2015Q2,2015-06-30 23:59:59.999999999,15 Q2,54.32046084915725
15,3,ABUDHABI,AHMEDABAD,18134,20974,11.79,160.94,-1.6116514066040013,0.49228026734765,-0.010799844627258862,0.061286628398916805,-0.34826149370185144,-0.33892623707036157,39108,172.73,international,2015Q3,2015-09-30 23:59:59.999999999,15 Q3,-9.885248168118343
15,4,ABUDHABI,AHMEDABAD,23205,22673,122.04,234.83,-1.6116514066040013,1.3911461963479181,0.1608450241957185,0.11637220232873215,-0.26018562449691157,-0.28941934450870094,45878,356.87,international,2015Q4,2015-12-31 23:59:59.999999999,15 Q4,17.31103610514473
16,1,ABUDHABI,AHMEDABAD,25852,26117,72.62,43.19,-1.2774262215304815,-1.305451590652886,0.2504415471250068,0.2280347783230135,-0.29966598237544334,-0.4178196813677704,51969,115.81,international,2016Q1,2016-03-31 23:59:59.999999999,16 Q1,13.2765159771568
16,2,ABUDHABI,AHMEDABAD,18792,24983,75.08,98.91,-1.2774262215304815,-0.40658566165261806,0.0114723548768861,0.1912678325687989,-0.29770075209658486,-0.3804868345206229,43775,173.99,international,2016Q2,2016-06-30 23:59:59.999999999,16 Q2,-15.767091920183185
16,3,ABUDHABI,AHMEDABAD,18348,19108,14.67,132.17,-1.2774262215304815,0.49228026734765,-0.0035563025392846646,0.0007865218933044391,-0.34596073630221225,-0.3582023677916903,37456,146.83999999999997,international,2016Q3,2016-09-30 23:59:59.999999999,16 Q3,-14.4351798972016
16,4,ABUDHABI,AHMEDABAD,27739,21145,132.75,156.38,-1.2774262215304815,1.3911461963479181,0.31431334114373255,0.06683085037772694,-0.2516296829170031,-0.3419814736393313,48884,289.13,international,2016Q4,2016-12-31 23:59:59.999999999,16 Q4,30.510465612985893
